Date,IWF,IWM,MTUM,SNDX,SPY,VLUE,VXX
2018-09-24,-2.030054644808743,-3.334823646299056,-0.8704669647292599,1.0,-2.66467958271237,-2.5192498758072532,0.0
2018-09-25,-2.074470766129032,-3.38054435483871,-0.8991935483870969,1.0,-2.701360887096774,-2.545110887096774,0.0
2018-09-26,-2.0743634988656416,-3.3811444416435594,-0.8975296193597176,1.0,-2.7027980841946055,-2.5482732543483744,0.0
2018-09-27,-2.0752295886275003,-3.3640709523210464,-0.899106805887533,1.0,-2.6984526355516416,-2.5433387847527986,0.0
2018-09-28,-2.0767681852504403,-3.3647118046816007,-0.8991945633022904,1.0,-2.699723131135162,-2.5444248678580417,0.0
2018-10-01,-2.1403645833333336,-3.5110677083333335,-0.9201822916666667,1.0,-2.802213541666667,-2.646875,0.0
2018-10-02,-2.1578534031413614,-3.485471204188482,-0.9393979057591624,1.0,-2.831020942408377,-2.675261780104712,0.0
2018-10-03,-2.1577431600994896,-3.487891085220579,-0.9367718287733996,1.0,-2.8323078937033643,-2.6760047126587247,0.0
2018-10-04,-2.1632226000523147,-3.4718807219461154,-0.938529950300811,1.0,-2.838608422704682,-2.666623070886738,0.0
2018-10-05,-2.120597790773229,-3.44314489928525,-0.8925276153346329,1.0,-2.85224171539961,-2.686939571150097,0.0
2018-10-08,-2.1100608571798527,-3.4267771591350513,-0.8781561569338342,1.0,-2.854072251715655,-2.6792697138417716,0.0
2018-10-09,-2.116632070576025,-3.4359107420861448,-0.8824597820446289,1.0,-2.858199273482097,-2.680332122470161,0.0
2018-10-10,-2.117822811119771,-3.444531047025201,-0.8776305533904909,1.0,-2.8634710314367364,-2.6869316705637827,0.0
2018-10-11,-1.909001111248302,-3.372638597357698,-0.6195826645264847,1.0,-2.764785776021731,-2.681195209285097,0.0
2018-10-12,-1.9404281345565748,-3.3637920489296635,-0.6007339449541285,1.0,-2.7126605504587156,-2.6146788990825685,0.0
2018-10-15,-1.8924969249692498,-3.500861008610086,-0.5113161131611317,1.0,-2.7375153751537518,-2.6579335793357934,0.0
