Date,FBNC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.18113044418026586,-0.7097968226521129,-0.06060196692964444,-0.385793796606506,-0.364476386036961,0.0
2018-09-25,1.0,-0.18026308666702756,-0.7124993233367617,-0.05803063931142749,-0.38821523304281924,-0.3676446706003356,0.0
2018-09-26,1.0,-0.1805288656724497,-0.7128860259290335,-0.05878691098059382,-0.3879611335155763,-0.3663896933445205,0.0
2018-09-27,1.0,-0.18001734323342908,-0.7161400466099398,-0.05809983198742615,-0.3885697252181453,-0.3670532762451899,0.0
2018-09-28,1.0,-0.18195378607073118,-0.7153124321978737,-0.05809286179214581,-0.38918420481666305,-0.36754176610978523,0.0
2018-10-01,1.0,-0.1814153277329201,-0.7194084223690292,-0.05858684718484082,-0.3899083815893211,-0.3693282222765952,0.0
2018-10-02,1.0,-0.18264301965406649,-0.7510759025246019,-0.050190510128560066,-0.3895452427290918,-0.36772566541487345,0.0
2018-10-03,1.0,-0.18300241333918382,-0.7526601579640193,-0.050597849934181656,-0.3892057920140412,-0.36699210179903463,0.0
2018-10-04,1.0,-0.18164245871762302,-0.7654774396642182,-0.050063511349201964,-0.38805434362401275,-0.3760976417959904,0.0
2018-10-05,1.0,-0.16872314641401345,-0.7619257463919797,-0.03798061033381073,-0.39776357827476033,-0.38779332378539166,0.0
2018-10-08,1.0,-0.16728992520897493,-0.7599263088429389,-0.035525736911570606,-0.3996920369555653,-0.38723603167619886,0.0
2018-10-09,1.0,-0.1648418829544823,-0.770966486967154,-0.01703440226754849,-0.41766242427610734,-0.4083254599010726,0.0
2018-10-10,1.0,-0.1654258569920551,-0.7702372354019668,-0.017889882771265072,-0.4179676648702706,-0.4064114673037391,0.0
2018-10-11,1.0,-0.10902877600282065,-0.7750806867185592,-0.0,-0.4053863469935722,-0.4226627973203873,0.0
2018-10-12,1.0,-0.10876854161637296,-0.7731015798932432,-0.0,-0.39221050937474855,-0.4082508516402457,0.0
2018-10-15,1.0,-0.06103158124795104,-0.8471478526936946,-0.0,-0.3980439296251776,-0.4257185007103049,0.0
2018-10-16,1.0,-0.05930397727272727,-0.8498142482517482,-0.0,-0.397426791958042,-0.42509833916083917,0.0
2018-10-17,1.0,-0.04425589225589226,-0.8241616161616162,-0.0,-0.39410101010101006,-0.43105723905723903,0.0
2018-10-18,1.0,-0.04392792695736487,-0.8238573621697325,-0.0,-0.3944625494896173,-0.43106466643324626,0.0
2018-10-19,1.0,-0.0288762332557953,-0.8178123579583433,-0.0,-0.39600545439961493,-0.43103125584877405,0.0
2018-10-22,1.0,-0.029161766278199507,-0.8132684700096225,-0.0,-0.39784026515556503,-0.4326686624612424,0.0
2018-10-23,1.0,-0.021215017064846416,-0.8310443686006824,-0.0,-0.42460068259385664,-0.45354266211604094,0.0
2018-10-24,1.0,-0.020474728648174543,-0.83938164674926,-0.0,-0.42684464422760665,-0.4542539195263677,0.0
2018-10-25,1.0,-0.013518301490828813,-0.8364721593851353,-0.0,-0.42549944127987793,-0.44997410809190264,0.0
2018-10-26,1.0,-0.006604233205218427,-0.828614735018676,-0.0,-0.4264873057976506,-0.4449466789368267,0.0
2018-10-29,1.0,-0.0,-0.8344966985581459,-0.0,-0.41471499797870903,-0.44586982886403453,0.0
2018-10-30,1.0,-0.0,-0.8334686366834443,-0.0,-0.4111327596471289,-0.461492666558424,0.0
2018-10-31,1.0,-0.0,-0.8192576654115115,-0.0,-0.41135018827326514,-0.45901022054868207,0.0
2018-11-01,1.0,-0.0,-0.8186734831158348,-0.0,-0.41237723664738335,-0.4596798062693394,0.0
2018-11-02,1.0,-0.0,-0.8021045303630717,-0.0,-0.4182285530684374,-0.457186462461176,0.0
2018-11-05,1.0,-0.0,-0.8118740292432114,-0.0,-0.4180011782978952,-0.4480745541213647,0.0
2018-11-06,1.0,-0.0,-0.811185814159055,-0.0,-0.41853052259395174,-0.4488790078482844,0.0
2018-11-07,1.0,-0.0,-0.8119669581076007,-0.0,-0.42015769994099655,-0.4498739473260741,0.0
2018-11-08,1.0,-0.0,-0.808827446593149,-0.0,-0.40706408822119233,-0.4477651696766289,0.0
2018-11-09,1.0,-0.0,-0.8087158040542339,-0.0,-0.40720811912309207,-0.4478570096694281,0.0
2018-11-12,1.0,-0.0,-0.8041785173174556,-0.0,-0.4076712474415885,-0.4462401318412589,0.0
2018-11-13,1.0,-0.0,-0.8001108735249862,-0.0,-0.4012301681581795,-0.43850479132018694,0.0
