Date,IWF,IWM,JCOM,MTUM,SPY,VLUE,VXX
2018-09-24,-0.3479979524513707,-0.7071152314867478,1.0,-0.11773404618359685,-0.38098623592310316,-0.28995563644636557,0.0
2018-09-25,-0.35106382978723405,-0.7053134600068268,1.0,-0.12208442371145752,-0.37925247468426443,-0.2867220389122767,0.0
2018-09-26,-0.35363351382160163,-0.7091479053861499,1.0,-0.12616129951553148,-0.37948133371330867,-0.28141920775149615,0.0
2018-09-27,-0.3541945591796041,-0.7070787637088735,1.0,-0.12673408346389406,-0.37934767127189867,-0.28124198832075203,0.0
2018-09-28,-0.35598631698973776,-0.7061858608893957,1.0,-0.12668187001140252,-0.3799600912200684,-0.28181299885974914,0.0
2018-10-01,-0.35752182098237206,-0.7050887101374864,1.0,-0.1263620286382566,-0.38122539791203147,-0.2821895145187974,0.0
2018-10-02,-0.3571775599439856,-0.717070103740962,1.0,-0.12303163670658168,-0.3798976879769083,-0.2806435940670458,0.0
2018-10-03,-0.3603865290040551,-0.7346351844928244,1.0,-0.12484541715797647,-0.3795979408127462,-0.2764947801328693,0.0
2018-10-04,-0.3636337493529649,-0.7292229826882154,1.0,-0.12535227468798527,-0.3840513026974176,-0.2734226721113476,0.0
2018-10-05,-0.3597178009119849,-0.7288995956293556,1.0,-0.11999196994464999,-0.3853852992629556,-0.2738535662049385,0.0
2018-10-08,-0.3587650714551651,-0.727353438153335,1.0,-0.1182518543975714,-0.38648795715554024,-0.27307615201764185,0.0
2018-10-09,-0.36260330578512395,-0.7289657943067033,1.0,-0.12508608815426997,-0.38421143250688705,-0.2687385215794307,0.0
2018-10-10,-0.36317737169740955,-0.7283915201239278,1.0,-0.12570641728104648,-0.3843483748816661,-0.2670759344789007,0.0
2018-10-11,-0.34246228326953393,-0.730916460256699,1.0,-0.09629024994370637,-0.3761821661787886,-0.2688583652330556,0.0
2018-10-12,-0.34873609988573334,-0.7292438895237033,1.0,-0.09467406148100665,-0.36278253114461695,-0.25158161701178894,0.0
2018-10-15,-0.3393989983305509,-0.7460489705063995,1.0,-0.08096828046744575,-0.36274346132442964,-0.25325542570951587,0.0
2018-10-16,-0.3377129495601826,-0.7537300968711725,1.0,-0.07535352410644694,-0.36340607950116915,-0.25347956797684,0.0
2018-10-17,-0.3315310344827586,-0.7388965517241379,1.0,-0.07015172413793104,-0.3617103448275862,-0.2563310344827586,0.0
2018-10-18,-0.3303443328550933,-0.7371702902549387,1.0,-0.07115660523121069,-0.3638119412868337,-0.25659419490122504,0.0
2018-10-19,-0.3270054945054945,-0.7362362637362637,1.0,-0.06631868131868132,-0.3639560439560439,-0.25373626373626373,0.0
2018-10-22,-0.32827908254360666,-0.7322895206702377,1.0,-0.06276610355720368,-0.36701002609531663,-0.2565306963329213,0.0
2018-10-23,-0.3335720384498857,-0.7340182333985182,1.0,-0.07150136337345415,-0.36103230781942874,-0.2541658633321398,0.0
2018-10-24,-0.3342873654952252,-0.7333021438203483,1.0,-0.06824999311996037,-0.3615873627432094,-0.25458898643256184,0.0
2018-10-25,-0.31708039416294226,-0.7094394486026602,1.0,-0.06561305260890636,-0.36567766948468045,-0.23455925905982447,0.0
2018-10-26,-0.31012539771663855,-0.7031362797786155,1.0,-0.05612149407769846,-0.37250340899975937,-0.23181198363680114,0.0
2018-10-29,-0.3045923398811269,-0.7087075881553346,1.0,-0.050454436418881095,-0.36898638023401475,-0.23257549508249153,0.0
2018-10-30,-0.29807538518952925,-0.7100015994028895,1.0,-0.045849549501519433,-0.37098150023991044,-0.24076344831262997,0.0
2018-10-31,-0.30223247428147204,-0.6938699756071693,1.0,-0.04711528263866794,-0.3705324000424223,-0.23764450100752996,0.0
2018-11-01,-0.2966750562988475,-0.7009935090740496,1.0,-0.04106504172738111,-0.371757848721685,-0.23886607497681814,0.0
2018-11-02,-0.3047206902921076,-0.6786025279045835,1.0,-0.03522706282819221,-0.3829062986516083,-0.23724833100245404,0.0
