Date,IWF,IWM,MTUM,QGEN,SPY,VLUE,VXX
2018-09-24,-0.31948719321253644,-0.4579932018306881,-0.2021786259133367,1.0,-0.3936782378288681,-0.30310735219334634,0.0
2018-09-25,-0.31999892967997434,-0.4573745049769881,-0.2030932248742374,1.0,-0.39310178743444296,-0.302258375254201,0.0
2018-09-26,-0.3200171246621893,-0.4574157814464988,-0.20319481978968773,1.0,-0.3930645118133412,-0.30206298664811493,0.0
2018-09-27,-0.3209156794052363,-0.4546305458240848,-0.20396865723531143,1.0,-0.3929077634851443,-0.30187468242719223,0.0
2018-09-28,-0.3234711363392953,-0.45386633822426903,-0.20367891185605655,1.0,-0.39383635000535505,-0.30266680946770913,0.0
2018-10-01,-0.3233632347034409,-0.45403668496452,-0.20380238318382649,1.0,-0.39378765564332574,-0.30274467800240995,0.0
2018-10-02,-0.32378376931109265,-0.4495702696189992,-0.20538702508768641,1.0,-0.39473613751372194,-0.3039706551714906,0.0
2018-10-03,-0.32382788443516214,-0.44951401719013573,-0.2054783516748333,1.0,-0.3947305004418025,-0.30406726109192167,0.0
2018-10-04,-0.332052246828639,-0.44272737045796595,-0.20573532573640077,1.0,-0.40671360997634914,-0.30033863685228984,0.0
2018-10-05,-0.32923984448317467,-0.4406756937927336,-0.20262769808285291,1.0,-0.4081244134602494,-0.3006569245207132,0.0
2018-10-08,-0.32850370925841615,-0.439219047108921,-0.20139800208896866,1.0,-0.4089825651463617,-0.3000883794424061,0.0
2018-10-09,-0.33219729497638467,-0.4405860884499785,-0.20808286818376984,1.0,-0.4068001288106483,-0.2958887934735938,0.0
2018-10-10,-0.33234063103670314,-0.44030371324318524,-0.20825284395793087,1.0,-0.40684696286756816,-0.29526185876797595,0.0
2018-10-11,-0.3116561833828987,-0.4364818275126984,-0.18227754822749165,1.0,-0.40140011053504226,-0.29997105034607996,0.0
2018-10-12,-0.31567415290711326,-0.431358739598821,-0.18222604794324024,1.0,-0.39194511829303286,-0.2872420898870543,0.0
2018-10-15,-0.3087419598447957,-0.44233223093148616,-0.17267779484909246,1.0,-0.39196895914168894,-0.28835186583682715,0.0
2018-10-16,-0.3078125,-0.44611979166666665,-0.16981770833333334,1.0,-0.3921354166666666,-0.2883072916666667,0.0
2018-10-17,-0.30194620824944507,-0.43154715812296734,-0.16509214805637293,1.0,-0.39104847452377267,-0.2915440607093077,0.0
2018-10-18,-0.3007512973433506,-0.4297627346190587,-0.16611158443704332,1.0,-0.3932305785764077,-0.29189579944749955,0.0
2018-10-19,-0.29247488631400453,-0.42183284947203453,-0.15790149782904708,1.0,-0.40148498317190345,-0.2954808211083421,0.0
2018-10-22,-0.297964442154084,-0.4134759082710642,-0.14375161040968823,1.0,-0.4145838701365627,-0.30687967018809587,0.0
2018-10-23,-0.2970874287335862,-0.41485437143667936,-0.1405721951345355,1.0,-0.4181048938420659,-0.3091865954647473,0.0
