Date,IWF,IWM,MTUM,SIRI,SPY,VLUE,VXX
2018-09-24,-0.3396330419718088,-0.524293251437121,-0.16518361025802558,1.0,-0.343124130508964,-0.2526183164028664,0.0
2018-09-25,-0.37978416172670615,-0.683204134366925,-0.11779905760753913,1.0,-0.4745402036783705,-0.38467852257181945,0.0
2018-09-26,-0.3799854085603113,-0.6834569552529184,-0.11831225680933855,1.0,-0.4743433852140079,-0.3837548638132296,0.0
2018-09-27,-0.38853464319492326,-0.6734600482045336,-0.12221984928455928,1.0,-0.4792079812063337,-0.38749733044512924,0.0
2018-09-28,-0.38648640400402845,-0.6754661702322459,-0.1227454451124607,1.0,-0.47926267281105994,-0.38785973693044834,0.0
2018-10-01,-0.38808978469995414,-0.674484654145671,-0.12246144449534278,1.0,-0.4805924568636433,-0.38827301878149334,0.0
2018-10-02,-0.3882187681314319,-0.6726112315631967,-0.12337007970195743,1.0,-0.4808074022047822,-0.38870736250648913,0.0
2018-10-03,-0.38847646106375827,-0.6742125683560932,-0.12378944795771851,1.0,-0.48049369138178594,-0.3880487581339932,0.0
2018-10-04,-0.3894894344692806,-0.67161353365091,-0.12422132649322097,1.0,-0.48173934286063275,-0.38655795773787716,0.0
2018-10-05,-0.3813608297594062,-0.666909997870852,-0.11530857438330748,1.0,-0.48651032636797764,-0.3915503239346656,0.0
2018-10-08,-0.38082358304209085,-0.666038595958061,-0.11438991034797143,1.0,-0.4868257103783619,-0.3910044066251329,0.0
2018-10-09,-0.37820219927503124,-0.6692558408723993,-0.10487678576868013,1.0,-0.4938316732157543,-0.39989034085716896,0.0
2018-10-10,-0.37843352213898535,-0.6688897009562093,-0.10503075704975942,1.0,-0.49390949509714355,-0.39898897618612583,0.0
2018-10-11,-0.35551580202742994,-0.6651759093619559,-0.07415026833631486,1.0,-0.48539057841383426,-0.40131186642814554,0.0
2018-10-12,-0.3695395513577332,-0.6626623376623376,-0.07228453364817002,1.0,-0.4680637544273908,-0.3790141676505313,0.0
2018-10-15,-0.3825670896609112,-0.6520847573479153,-0.08362804243811107,1.0,-0.4733275877440637,-0.38027876014146034,0.0
2018-10-16,-0.3830811758761109,-0.6504473441726362,-0.08501025473352555,1.0,-0.4733822786315133,-0.38046547573046396,0.0
2018-10-17,-0.37461818609022557,-0.6294349154135338,-0.07850681390977443,1.0,-0.47062969924812026,-0.38381109022556387,0.0
2018-10-18,-0.37576790805678845,-0.6317568560594927,-0.07736398107051527,1.0,-0.47009200199876544,-0.3843802357367508,0.0
2018-10-19,-0.3698306074766355,-0.6251460280373832,-0.07053154205607477,1.0,-0.4720794392523365,-0.38300233644859816,0.0
2018-10-22,-0.36812461497843874,-0.6375370354073161,-0.07982046994631699,1.0,-0.46786353369121997,-0.3801519551761565,0.0
2018-10-23,-0.36943515748724265,-0.6369875065986275,-0.08305472461727961,1.0,-0.46486597454396156,-0.3783799636342307,0.0
2018-10-24,-0.36941666422265884,-0.6381793119629292,-0.08211866146581812,1.0,-0.46517288911047894,-0.3779511393964279,0.0
2018-10-25,-0.35925583545181417,-0.6214178414605962,-0.08108966951698636,1.0,-0.46290732609198054,-0.3641668592558354,0.0
