Date,IWF,IWM,KARS,MTUM,SPY,VLUE,VXX
2018-09-24,-0.24614958029795064,-0.41962642736507777,1.0,-0.09107408434372716,-0.3666658264223236,-0.39721711073580196,0.0
2018-09-25,-0.24492167761495706,-0.42306720565942396,1.0,-0.08782213239009601,-0.36965639211723095,-0.40108640727640227,0.0
2018-09-26,-0.244852068015867,-0.42300209707167946,1.0,-0.08754642613507163,-0.3697415295990298,-0.40147552995275276,0.0
2018-09-27,-0.24547934134761087,-0.4210021214264067,1.0,-0.08814021618345289,-0.3696332962925548,-0.4012779068592787,0.0
2018-09-28,-0.24344332710091465,-0.4232907170650361,1.0,-0.08858456718378897,-0.36977613825862854,-0.4015614735459093,0.0
2018-10-01,-0.2435000126336003,-0.42322561083457566,1.0,-0.08871314147105643,-0.36978548146650836,-0.4015210854789398,0.0
2018-10-02,-0.24400596245673428,-0.4186099391122003,1.0,-0.09047270154872288,-0.37075869735479144,-0.40261741744776536,0.0
2018-10-03,-0.2437619961612284,-0.4145873320537428,1.0,-0.08995858167491666,-0.37213354884331756,-0.4050661682998283,0.0
2018-10-04,-0.2464207257025983,-0.4102719490947656,1.0,-0.0903971921319092,-0.3756786102062975,-0.40229275559932326,0.0
2018-10-05,-0.2494117051694036,-0.4145897117987905,1.0,-0.09005338933731433,-0.3751929354014321,-0.4010779079476734,0.0
2018-10-08,-0.251741495906849,-0.4198911882849443,1.0,-0.0916509889662887,-0.37540041694208576,-0.4036202776224132,0.0
2018-10-09,-0.2535616159560395,-0.42027068281265906,1.0,-0.0953241070519996,-0.37381703470031546,-0.4010379566500458,0.0
2018-10-10,-0.25337743289657805,-0.4205826230759446,1.0,-0.09487342577280243,-0.3738455667217911,-0.4015265233430861,0.0
2018-10-11,-0.23636909828268163,-0.41706303509738146,1.0,-0.07307364942672609,-0.36887297852100337,-0.4079757672858359,0.0
2018-10-12,-0.24342610721455302,-0.4120300379191554,1.0,-0.07236858410369526,-0.3561426553322263,-0.3944087833651392,0.0
2018-10-15,-0.23360392020986984,-0.42862446171360696,1.0,-0.05833292085333862,-0.3567044498341831,-0.39761421571053807,0.0
2018-10-16,-0.23204159960381332,-0.4361025133093971,1.0,-0.05289092484833478,-0.3573604060913706,-0.39774668812677977,0.0
2018-10-17,-0.22359883450454202,-0.4154893366959673,1.0,-0.04407335765529737,-0.3585612497245415,-0.4067970911583948,0.0
2018-10-18,-0.22325319492728785,-0.41494883219899137,1.0,-0.04428830240415218,-0.3589580375067326,-0.40679625911962003,0.0
2018-10-19,-0.22415949385713238,-0.41840162828907035,1.0,-0.04171264621496359,-0.3597194634493244,-0.4082493440251109,0.0
2018-10-22,-0.2249711889757987,-0.41630090969276407,1.0,-0.0398205134492313,-0.3613515435352965,-0.40953338400804257,0.0
2018-10-23,-0.2279341398179275,-0.41648467597477484,1.0,-0.04561627364856575,-0.35661178318160625,-0.4071111329227296,0.0
2018-10-24,-0.22748024151980756,-0.41770163467674637,1.0,-0.045554955574100435,-0.3566589759952874,-0.40704923665995774,0.0
2018-10-25,-0.21063252216109737,-0.3933985153866481,1.0,-0.04307300550123718,-0.3630576308645831,-0.39212530328873085,0.0
2018-10-26,-0.20277366687353798,-0.3891488041246957,1.0,-0.029168854728600757,-0.3753282092901131,-0.390557120351363,0.0
2018-10-29,-0.19551358294876064,-0.39390551405870877,1.0,-0.022860269280175084,-0.3719491888291546,-0.3945953660973405,0.0
2018-10-30,-0.18835371948027224,-0.3955071153205464,1.0,-0.017728808719242303,-0.3743277330921898,-0.40378849174242065,0.0
