Date,IWF,IWM,MOMO,MTUM,SPY,VLUE,VXX
2018-09-24,-1.2591018010357888,-2.1629434954007882,1.0,-0.5195949601916982,-1.4922315838293265,-1.2959727912189842,0.0
2018-09-25,-1.2588581154262726,-2.165712517406777,1.0,-0.5180256846665635,-1.494661921708185,-1.2990871112486462,0.0
2018-09-26,-1.2615360792815113,-2.169402291731186,1.0,-0.522375348405079,-1.4948900588417466,-1.2942087333539796,0.0
2018-09-27,-1.264692236313022,-2.156433652953913,1.0,-0.5254407670893907,-1.493659140117538,-1.2925301577482216,0.0
2018-09-28,-1.2632808848730332,-2.1828166381056238,1.0,-0.529365944851223,-1.5073220127745754,-1.306667705250039,0.0
2018-10-01,-1.2661158313196665,-2.1815418193156133,1.0,-0.5295034687037182,-1.5097825239691325,-1.30781822433549,0.0
2018-10-02,-1.2681215900233829,-2.163756819953235,1.0,-0.5361652377240842,-1.5137957911145752,-1.3124707716289947,0.0
2018-10-03,-1.2737731861939423,-2.183767707599593,1.0,-0.5397198090318541,-1.5170227752993661,-1.3122798779056117,0.0
2018-10-04,-1.275975295129388,-2.1748885935423345,1.0,-0.5406144945664921,-1.5194277226174655,-1.3070909233054493,0.0
2018-10-05,-1.275336252736941,-2.1861119799812325,1.0,-0.5282295902408508,-1.5233812949640289,-1.3067719737253676,0.0
2018-10-08,-1.2716907458024211,-2.180242092932448,1.0,-0.5187036313939868,-1.5321358844201485,-1.3065208902772356,0.0
2018-10-09,-1.2760400375351892,-2.183766030653738,1.0,-0.5244760713168596,-1.5316703159211762,-1.303800437910541,0.0
2018-10-10,-1.276457714553697,-2.1825074253556354,1.0,-0.5248554009692044,-1.531499140221979,-1.3010004689698296,0.0
2018-10-11,-1.1693276366089498,-2.1586087999400347,1.0,-0.3871523873772581,-1.4811483397046699,-1.2993778577318043,0.0
2018-10-12,-1.2068914081145583,-2.1685560859188544,1.0,-0.3783562052505966,-1.4497315035799523,-1.2546986873508352,0.0
2018-10-15,-1.1990916536371081,-2.183232819596456,1.0,-0.3613282704191795,-1.4488124488124487,-1.2529223438314347,0.0
2018-10-16,-1.1952455473582235,-2.203517400700499,1.0,-0.3477159251807139,-1.4510768313585214,-1.254564423578508,0.0
2018-10-17,-1.1698758456620326,-2.1474983272619137,1.0,-0.29053601962679354,-1.4940896587614305,-1.3323916437439596,0.0
2018-10-18,-1.1975299287770875,-2.206622215487195,1.0,-0.27989089255947874,-1.5227307167752693,-1.3701318381572967,0.0
