Date,BFAM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2818567064156894,-0.4896521139252981,-0.12188331526559573,-0.3199221444761998,-0.2504681186557603,0.0
2018-09-25,1.0,-0.2831457353267161,-0.4884116154774513,-0.12401172384916628,-0.3187852515947883,-0.24866382601413758,0.0
2018-09-26,1.0,-0.2854252011253146,-0.49190563150881,-0.12760969349982723,-0.3189872168204926,-0.2438675287498149,0.0
2018-09-27,1.0,-0.2846726153694045,-0.4959833897718566,-0.12667770719529375,-0.31974689176162346,-0.24467953629779765,0.0
2018-09-28,1.0,-0.28376507810955115,-0.4966383231164722,-0.1269527387779316,-0.3196806406960649,-0.2447844571880562,0.0
2018-10-01,1.0,-0.28327273626672606,-0.4979347530360367,-0.12720437288219436,-0.3196309762311098,-0.24530681902500556,0.0
2018-10-02,1.0,-0.2831122549990101,-0.5015838447832113,-0.12626212631162148,-0.31907048109285285,-0.24475351415561275,0.0
2018-10-03,1.0,-0.28355214268020806,-0.504879861283131,-0.1267525390141194,-0.3185038394847659,-0.24339856328957146,0.0
2018-10-04,1.0,-0.2845009038456776,-0.5027610628234652,-0.1270336527746824,-0.3197385038258673,-0.24223064160661664,0.0
2018-10-05,1.0,-0.28774497643264696,-0.5078888613247333,-0.12706524435623914,-0.3188042669312826,-0.23924584470354748,0.0
2018-10-08,1.0,-0.28741606565530964,-0.5078338721711017,-0.12108928127331509,-0.32837602586421283,-0.24220343198209401,0.0
2018-10-09,1.0,-0.28805929315790785,-0.5079463774964559,-0.1224413659313055,-0.32765438853930906,-0.2410276817469595,0.0
2018-10-10,1.0,-0.28996865203761757,-0.5068418171866448,-0.12442155545603821,-0.3289296909986565,-0.23777180673732398,0.0
2018-10-11,1.0,-0.27466992665036677,-0.5054278728606357,-0.10435207823960882,-0.3224205378973105,-0.2380929095354523,0.0
2018-10-12,1.0,-0.27898305084745767,-0.5020096852300242,-0.10372881355932205,-0.3118886198547216,-0.22469733656174334,0.0
2018-10-15,1.0,-0.27768235151808396,-0.5043909519777429,-0.10139107294060724,-0.31164872384178055,-0.22414418773436554,0.0
2018-10-16,1.0,-0.2780304863295427,-0.5031938059520928,-0.10234696346479553,-0.31168642632470356,-0.2242922816356158,0.0
2018-10-17,1.0,-0.2765459502497165,-0.49969841001761284,-0.1011894708905349,-0.310951335440442,-0.22433469249885393,0.0
2018-10-18,1.0,-0.2780287474332649,-0.5026210895035632,-0.09977050368401982,-0.3102548616982727,-0.22505133470225874,0.0
