Date,IWF,IWM,MTUM,SPY,UPLD,VLUE,VXX
2018-09-24,-0.7318058076225045,-1.1638838475499094,-0.24804900181488204,-0.811070780399274,1.0,-0.5823956442831216,0.0
2018-09-25,-0.7309790019089174,-1.1676665757658395,-0.24515953095173168,-0.8144259612762476,1.0,-0.5868102899736388,0.0
2018-09-26,-0.7306048203728968,-1.167712596634834,-0.24320145520691222,-0.8156889495225101,1.0,-0.5903137789904502,0.0
2018-09-27,-0.730358036486056,-1.169100586870479,-0.24316455120331193,-0.8159774350575496,1.0,-0.5907829489104226,0.0
2018-09-28,-0.7260893395450808,-1.180825797022015,-0.2444962090070339,-0.8203160683292227,1.0,-0.5957339910477756,0.0
2018-10-01,-0.7259639631378663,-1.1896749346659943,-0.2456558617211499,-0.8231167759387464,1.0,-0.6004768236211087,0.0
2018-10-02,-0.7271018611900615,-1.1772714770330979,-0.25016044741908866,-0.825845787109196,1.0,-0.603832401210232,0.0
2018-10-03,-0.7353009312885141,-1.2109067321503035,-0.25436686280869203,-0.8302367604132882,1.0,-0.6024649029328639,0.0
2018-10-04,-0.7626305111583949,-1.3413825523281706,-0.2574100648226038,-0.8835667276955812,1.0,-0.7033005096739077,0.0
2018-10-05,-0.7437150837988827,-1.34537110933759,-0.2279030327214685,-0.9241320830007981,1.0,-0.7469074221867519,0.0
2018-10-08,-0.7510232957703774,-1.3608065086664307,-0.2146647127191874,-0.95987669917631,1.0,-0.7669917631007125,0.0
2018-10-09,-0.764696892511462,-1.372440142638818,-0.23204279164544064,-0.9617931737137034,1.0,-0.7633214467651553,0.0
2018-10-10,-0.7650114591291063,-1.3720397249809013,-0.2321364909600204,-0.9618538324420678,1.0,-0.7618538324420677,0.0
2018-10-11,-0.7163604030823948,-1.3581802015411975,-0.17106303102153725,-0.9370677731673582,1.0,-0.7571132187314759,0.0
2018-10-12,-0.723840607950117,-1.3490841777084959,-0.16372759158222916,-0.9111944660950897,1.0,-0.7235483242400623,0.0
2018-10-15,-0.7077319337123974,-1.3765369101423919,-0.13874714487048645,-0.9110171550760557,1.0,-0.7258589687515187,0.0
2018-10-16,-0.7043427401666911,-1.4020080908514891,-0.12258127406540917,-0.9156309401959352,1.0,-0.7294438758103036,0.0
