Date,IWF,IWM,MTUM,PPL,SPY,VLUE,VXX
2018-09-24,-0.3157765122364168,-0.6160689549022625,-0.0,1.0,-0.658149915345544,-0.4883484685239341,0.0
2018-09-25,-0.3140748517786561,-0.6201828063241106,-0.0,1.0,-0.6611907114624506,-0.4924654150197629,0.0
2018-09-26,-0.3127304272392106,-0.6213092914459212,-0.0,1.0,-0.6641261579452861,-0.5000154909068377,0.0
2018-09-27,-0.3123778804701796,-0.6238253264274417,-0.0,1.0,-0.6646093725769935,-0.5006357969171603,0.0
2018-09-28,-0.31651946759547206,-0.6241447941286229,-0.0,1.0,-0.6666873989302151,-0.5025189700211469,0.0
2018-10-01,-0.3171555444368003,-0.6330602289073738,-0.0,1.0,-0.6698355119144411,-0.507098630308337,0.0
2018-10-02,-0.3205693727514469,-0.6214609729391521,-0.0,1.0,-0.674393868293446,-0.511997497262631,0.0
2018-10-03,-0.3203071137574428,-0.6104356001253526,-0.0,1.0,-0.6808523973675964,-0.5221874020683172,0.0
2018-10-04,-0.3248800978025767,-0.604526503871352,-0.0,1.0,-0.6866242437541143,-0.5186671264223691,0.0
2018-10-05,-0.3025014908508835,-0.5959323310630552,-0.0,1.0,-0.7032735946768777,-0.5369574087442328,0.0
2018-10-08,-0.2992180385013975,-0.5933172125741921,-0.0,1.0,-0.7101717802970826,-0.5377005935370411,0.0
2018-10-09,-0.29515667724801203,-0.5936449068108244,-0.0,1.0,-0.7126064682402489,-0.5415343998491373,0.0
2018-10-10,-0.29560518958313703,-0.592781076241636,-0.0,1.0,-0.7129394025068325,-0.5400684823924857,0.0
2018-10-11,-0.21687625296154547,-0.5766660591701597,-0.0,1.0,-0.6926675171617763,-0.5513030800072899,0.0
2018-10-12,-0.21676922157834994,-0.5629368540534081,-0.0,1.0,-0.6768325467471175,-0.5304976402413525,0.0
2018-10-15,-0.20307243442793774,-0.5713477626603948,-0.0,1.0,-0.6737324719402185,-0.5289827026705171,0.0
2018-10-16,-0.19781824684808202,-0.5816220082858932,-0.0,1.0,-0.6729158594378708,-0.528151172841346,0.0
2018-10-17,-0.17980317145109947,-0.5454545454545454,-0.0,1.0,-0.6649534211371667,-0.5300937417866425,0.0
2018-10-18,-0.17919294557346413,-0.5443237561317449,-0.0,1.0,-0.6661702873160477,-0.5302207428170989,0.0
2018-10-19,-0.16295610940843117,-0.530012143641936,-0.0,1.0,-0.6695483721737119,-0.5287977794483317,0.0
2018-10-22,-0.16328009507521957,-0.5197541957737906,-0.0,1.0,-0.6783964752601525,-0.5372039769268674,0.0
2018-10-23,-0.15925850359963858,-0.5247894138564224,-0.0,1.0,-0.6869917514354834,-0.5436474394473753,0.0
2018-10-24,-0.1571503404924044,-0.5205459519236366,-0.0,1.0,-0.6878237588033294,-0.5447005412956173,0.0
2018-10-25,-0.11718504555450832,-0.4835632479364807,-0.0,1.0,-0.7289292548481993,-0.5264044783366179,0.0
2018-10-26,-0.0927212927212927,-0.4826540826540826,-0.0,1.0,-0.7563849563849563,-0.5282425282425283,0.0
2018-10-29,-0.08326453926954938,-0.48199493296137097,-0.0,1.0,-0.7537646958353498,-0.5276552136411512,0.0
2018-10-30,-0.060639912921428785,-0.4894445876657787,-0.0,1.0,-0.7612213915384836,-0.5531207928733064,0.0
2018-10-31,-0.06404472063789336,-0.4699923384693964,-0.0,1.0,-0.7569024715530206,-0.5466360205442524,0.0
2018-11-01,-0.040594706768627226,-0.49242402706313787,-0.0,1.0,-0.7594735196293032,-0.550274326975012,0.0
2018-11-02,-0.043955423896177175,-0.4712089152207646,-0.0,1.0,-0.7617153336154606,-0.5444209338411624,0.0
2018-11-05,-0.039878079756159514,-0.4835323003979342,-0.0,1.0,-0.7633279711003866,-0.5354895154234753,0.0
2018-11-06,-0.04200874594442094,-0.48475102271124276,-0.0,1.0,-0.7613767809281986,-0.5331358442657639,0.0
2018-11-07,-0.04140477465542997,-0.4845683361988782,-0.0,1.0,-0.7599988725725076,-0.5325685616843767,0.0
2018-11-08,-0.02238265135466607,-0.48073921284424126,-0.0,1.0,-0.7512821942245511,-0.5329746906009588,0.0
2018-11-09,-0.021910629163995207,-0.480890920748195,-0.0,1.0,-0.7519861734452095,-0.5328241295681989,0.0
