Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WH
2019-01-17,-0.0,-0.5925587626354889,-0.0,-0.6805809280233832,-0.7715564486664231,0.0,1.0
2019-01-18,-0.0,-0.5896375577718317,-0.0,-0.6810386767209925,-0.7699464850401362,0.0,1.0
2019-01-22,-0.0,-0.5931159969673996,-0.0,-0.6784836997725551,-0.7610007581501137,0.0,1.0
2019-01-23,-0.0,-0.5913330506934771,-0.0,-0.6775785839743201,-0.7593725395191084,0.0,1.0
2019-01-24,-0.0,-0.5912903909633264,-0.0,-0.6778413736713,-0.7592441173798491,0.0,1.0
2019-01-25,-0.0,-0.5922447743108149,-0.0,-0.6747046349591033,-0.7624356255680097,0.0,1.0
2019-01-28,-0.0,-0.5844093012004475,-0.0,-0.6798403435033715,-0.7595476399262194,0.0,1.0
2019-01-29,-0.0,-0.5842577758969864,-0.0,-0.6778103557718466,-0.7606323489405433,0.0,1.0
2019-01-30,-0.0,-0.5827486087587709,-0.0,-0.6769900798451488,-0.7646987660295186,0.0,1.0
2019-01-31,-0.0,-0.5839440272625833,-0.0,-0.6458578364848155,-0.7859706263759463,0.0,1.0
2019-02-01,-0.0,-0.5811332127787824,-0.0,-0.640867992766727,-0.7918927064496685,0.0,1.0
2019-02-04,-0.0,-0.5803565995253454,-0.0,-0.6398405647173371,-0.8224304752631899,0.0,1.0
2019-02-05,-0.0,-0.5694866804524996,-0.0,-0.6370271256538134,-0.8345091837975914,0.0,1.0
2019-02-06,-0.0,-0.5688291139240507,-0.0,-0.6409444985394352,-0.8330696202531647,0.0,1.0
2019-02-07,-0.0,-0.5694985394352483,-0.0,-0.6426180623174294,-0.8307266309639727,0.0,1.0
2019-02-08,-0.0,-0.5793515876388804,-0.0,-0.6485944994232287,-0.8076923076923076,0.0,1.0
2019-02-11,-0.0,-0.5767454578598773,-0.0,-0.6446193109315185,-0.8168560490976484,0.0,1.0
2019-02-12,-0.0,-0.5668733661620767,-0.0,-0.6527752446957262,-0.8200498510547755,0.0,1.0
2019-02-13,-0.0,-0.5667758369723436,-0.0,-0.6504124211547793,-0.8153202328966521,0.0,1.0
2019-02-14,-0.0,-0.5699250856813564,-0.0,-0.6568196293712657,-0.8062236510873192,0.0,1.0
2019-02-15,-0.0,-0.57368596645537,-0.0,-0.6546662218313063,-0.8046161778532651,0.0,1.0
2019-02-19,-0.0,-0.5680297847867543,-0.0,-0.6568695704815813,-0.8020098677240669,0.0,1.0
2019-02-20,-0.0,-0.5682189789862533,-0.0,-0.656028583540241,-0.803669835886877,0.0,1.0
2019-02-21,-0.0,-0.5731796116504855,-0.0,-0.6557342233009709,-0.8050970873786407,0.0,1.0
2019-02-22,-0.0,-0.575299651039296,-0.0,-0.660263996358671,-0.7988772568654225,0.0,1.0
2019-02-25,-0.0,-0.5759728039822741,-0.0,-0.6604443635039156,-0.7988526680021854,0.0,1.0
2019-02-26,-0.0,-0.5762413500060701,-0.0,-0.6605863785358748,-0.7982578608716766,0.0,1.0
2019-02-27,-0.0,-0.5816171557013547,-0.0,-0.658222465220825,-0.7976125387279023,0.0,1.0
2019-02-28,-0.0,-0.5733012224491663,-0.0,-0.6569521080388989,-0.8182483309453403,0.0,1.0
2019-03-01,-0.0,-0.5742897207657602,-0.0,-0.6636690647482014,-0.8104194610413363,0.0,1.0
2019-03-04,-0.0,-0.5774699456886557,-0.0,-0.665527552328065,-0.8082016232379325,0.0,1.0
2019-03-05,-0.0,-0.5737025065560774,-0.0,-0.6699396231017869,-0.8057266573153626,0.0,1.0
2019-03-06,-0.0,-0.5706656086916715,-0.0,-0.6797387615588855,-0.8014465773491622,0.0,1.0
