Date,IWF,IWM,JBGS,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.0,1.0,-0.0,-0.12931918384086946,-0.0,-0.12460268635291705,-0.0,-0.023249256638982876,-0.0,-0.08530708499948733,-0.137829385830001,-0.0,-0.0,-0.15159438121603608,-0.5173792679175637,-0.3940582384907208,-0.0,-0.0
2019-01-03,-0.0,-0.0,1.0,-0.0,-0.11820947414167754,-0.0,-0.10749801876422015,-0.0,-0.026612470281463303,-0.0,-0.09663317739090421,-0.14459186542935296,-0.0,-0.0,-0.1618222256307999,-0.5086023979344019,-0.3924380704041721,-0.0,-0.0
2019-01-04,-0.0,-0.0,1.0,-0.0,-0.1188566206336312,-0.0,-0.08027010560519904,-0.0,-0.005864134849715678,-0.0,-0.11563261575954509,-0.13528127538586515,-0.0,-0.0,-0.1620633631194151,-0.5368856620633632,-0.3837327376116978,-0.0,-0.0
2019-01-07,-0.0,-0.0,1.0,-0.0,-0.11688732640187499,-0.0,-0.07654524147904357,-0.0,-0.0,-0.0,-0.11130226643728028,-0.11771012541451618,-0.0,-0.0,-0.14341636123369986,-0.5637669234796918,-0.3636771635874037,-0.0,-0.0
2019-01-08,-0.0,-0.0,1.0,-0.0,-0.11634342124943911,-0.0,-0.07605823403300593,-0.0,-0.0,-0.0,-0.11048511741536621,-0.118611955925612,-0.0,-0.0,-0.1437652689833973,-0.5628209602632498,-0.3648352196240714,-0.0,-0.0
2019-01-09,-0.0,-0.0,1.0,-0.0,-0.14957005563985837,-0.0,-0.0791350531107739,-0.0,-0.0,-0.0,-0.1123925139099646,-0.10154274152756702,-0.0,-0.0,-0.13894790085988873,-0.5731158320687911,-0.3743803743045018,-0.0,-0.0
2019-01-10,-0.0,-0.0,1.0,-0.0,-0.1500518291912118,-0.0,-0.07824943746365635,-0.0,-0.0,-0.0,-0.11410006826283722,-0.10183804009809623,-0.0,-0.0,-0.1355396556519101,-0.5739640482390717,-0.3744848684044194,-0.0,-0.0
2019-01-11,-0.0,-0.0,1.0,-0.0,-0.14690305659235348,-0.0,-0.07507818016745688,-0.0,-0.0,-0.0,-0.11411782507818016,-0.10501361848078282,-0.0,-0.0,-0.14155654191465752,-0.5683193785937658,-0.37095228487844245,-0.0,-0.0
2019-01-14,-0.0,-0.0,1.0,-0.0,-0.15044917734934893,-0.0,-0.07492177248410214,-0.0,-0.0,-0.0,-0.11585242757646108,-0.10278086201675583,-0.0,-0.0,-0.13831129504390832,-0.5663167457353386,-0.37481073988089225,-0.0,-0.0
2019-01-15,-0.0,-0.0,1.0,-0.0,-0.15005045408678103,-0.0,-0.07411705348133199,-0.0,-0.0,-0.0,-0.11581735620585268,-0.10348133198789103,-0.0,-0.0,-0.13884964682139253,-0.5670787083753784,-0.37330978809283555,-0.0,-0.0
