Date,CLB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.41023890784982936,-0.9554417899127797,-0.03970420932878271,-0.7013272658323852,-0.6855138414865377,0.0
2018-09-25,1.0,-0.41647040948112135,-0.9540758185823901,-0.04729165083947428,-0.6996885208539088,-0.6810377573501482,0.0
2018-09-26,1.0,-0.4237547306854238,-0.966015520470966,-0.055315570167055315,-0.7037348522497038,-0.6739171986696739,0.0
2018-09-27,1.0,-0.4241659979364898,-0.9641560625167183,-0.0559058427910887,-0.7034277198211625,-0.6736214605067065,0.0
2018-09-28,1.0,-0.4261843765533591,-0.9632929300653845,-0.056169464306198146,-0.7039727755897985,-0.6740718082055597,0.0
2018-10-01,1.0,-0.4259599204528071,-0.9637830809239714,-0.0566008872571516,-0.703801437968487,-0.6742389475294478,0.0
2018-10-02,1.0,-0.4291511926184004,-0.9436808453616142,-0.0642444197710479,-0.7103641027604427,-0.6812282246640378,0.0
2018-10-03,1.0,-0.43042543388112425,-0.9291583474120719,-0.06116571955152818,-0.7215097527261557,-0.6973583166948242,0.0
2018-10-04,1.0,-0.42986164488854733,-0.9318601076095312,-0.06160645657186779,-0.7205226748654882,-0.6993082244427364,0.0
2018-10-05,1.0,-0.4301046314817664,-0.937644252961994,-0.05620095399292198,-0.722726573318972,-0.7001077088782889,0.0
2018-10-08,1.0,-0.42837370242214534,-0.9349096501345636,-0.05005767012687428,-0.7301422529796232,-0.701191849288735,0.0
2018-10-09,1.0,-0.42727517397823833,-0.9354069745088239,-0.047137529316774965,-0.7316698066054058,-0.7032950132646392,0.0
2018-10-10,1.0,-0.4297527018191608,-0.934002538363909,-0.04961347640475366,-0.7334717895465558,-0.6991269566555132,0.0
2018-10-11,1.0,-0.3987279843444227,-0.9283079933764865,-0.00922023182297155,-0.723355411711576,-0.703710672888755,0.0
2018-10-12,1.0,-0.4012734110287821,-0.9226644822578844,-0.0027925680455747107,-0.7094984547790149,-0.6872323788956325,0.0
2018-10-15,1.0,-0.36600990725911575,-0.9620470036127974,-0.0,-0.705352154642631,-0.6911244366643078,0.0
