Date,IWF,IWM,MTUM,MWA,SPY,VLUE,VXX
2018-09-24,-0.296505635535459,-0.8754862519533199,-0.044120091764471195,1.0,-0.5485254513415566,-0.560162250224424,0.0
2018-09-25,-0.2988964233479591,-0.873520808403138,-0.04779949474803882,1.0,-0.5467358064087222,-0.5571067677170589,0.0
2018-09-26,-0.2985671442852383,-0.8745751416194604,-0.04365211596134622,1.0,-0.5501832722425859,-0.5652115961346218,0.0
2018-09-27,-0.2979803037890169,-0.8798197295943917,-0.042730762810883,1.0,-0.5513937573026206,-0.5664496745117676,0.0
2018-09-28,-0.29584237769243615,-0.8820170312239106,-0.043412923693437966,1.0,-0.5514777091334113,-0.5667390215394891,0.0
2018-10-01,-0.29604274503255973,-0.8816496911003507,-0.043613291033561534,1.0,-0.5514777091334113,-0.5666722324261145,0.0
2018-10-02,-0.296093306152458,-0.8872439260769308,-0.042408849380075525,1.0,-0.5505798215419577,-0.5655850015038599,0.0
2018-10-03,-0.29576806172550857,-0.8819933865526571,-0.04191856775443402,1.0,-0.5520558468886737,-0.5684224589999666,0.0
2018-10-04,-0.2945978633340053,-0.8948128737485722,-0.04172545857689982,1.0,-0.551064973459652,-0.577370153866828,0.0
2018-10-05,-0.28085448335900354,-0.8900421884417064,-0.02785776468224737,1.0,-0.5603361682180407,-0.5892319024978236,0.0
2018-10-08,-0.27899047300685276,-0.8871803443088752,-0.024001337121845226,1.0,-0.5637305699481865,-0.5889018886846064,0.0
2018-10-09,-0.2777629203717323,-0.8877448686233871,-0.020960085578658822,1.0,-0.5653540148425485,-0.5911278999799424,0.0
2018-10-10,-0.2771770062606716,-0.8907897820482773,-0.018915932907027352,1.0,-0.5662392447018648,-0.5948307609896548,0.0
2018-10-11,-0.22477587612061936,-0.8857375713121434,-0.0,1.0,-0.5475794621026895,-0.6018581907090464,0.0
2018-10-12,-0.22139625080801553,-0.8833872010342598,-0.0,1.0,-0.5365223012281836,-0.5907886231415643,0.0
