Date,IONS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.9453183991945633,-1.6300025169896801,-0.22029952177196072,-1.3348854769695444,-1.1619682859300275,0.0
2018-09-25,1.0,-0.95847816469696,-1.6325601971813182,-0.2342160146622006,-1.3362826265562786,-1.1583770460721734,0.0
2018-09-26,1.0,-0.9626464070908515,-1.6385565052231716,-0.24039252928141813,-1.337258626147515,-1.1522000633111744,0.0
2018-09-27,1.0,-0.9664790335842135,-1.6264625893365379,-0.24369110113212322,-1.3367908418189867,-1.1512870786161533,0.0
2018-09-28,1.0,-0.9653471607436448,-1.6264702162640698,-0.244530163146579,-1.3361578348298975,-1.1510054382192993,0.0
2018-10-01,1.0,-0.9663567950420541,-1.6251818124328086,-0.2447985834440018,-1.3366217669006513,-1.1509517485613103,0.0
2018-10-02,1.0,-0.9670894102726696,-1.6485098287888393,-0.24013950538998097,-1.3357006975269499,-1.1497780596068485,0.0
2018-10-03,1.0,-0.968262028691126,-1.6540561127332738,-0.2413355338326774,-1.3354703567347974,-1.1485337057255298,0.0
2018-10-04,1.0,-0.9770012706480304,-1.6433290978398982,-0.243138500635324,-1.3470775095298602,-1.1427573062261753,0.0
2018-10-05,1.0,-0.9558227848101265,-1.6331012658227846,-0.21645569620253166,-1.363481012658228,-1.160253164556962,0.0
2018-10-08,1.0,-0.9590017825311943,-1.6398650369238603,-0.20467277820218996,-1.3898013750954927,-1.1728418640183347,0.0
2018-10-09,1.0,-0.9942125113798933,-1.6801274548055662,-0.2381323969306802,-1.4094160489010275,-1.1809077903498506,0.0
2018-10-10,1.0,-0.9957095495026979,-1.6782812195280505,-0.23968016641747383,-1.4101930702723788,-1.1768185659494248,0.0
2018-10-11,1.0,-0.902508551881414,-1.701000886861776,-0.08507538325098188,-1.4122640314202457,-1.2338781198530344,0.0
2018-10-12,1.0,-0.9203849518810149,-1.690538682664667,-0.07161604799400074,-1.378140232470941,-1.1885389326334208,0.0
2018-10-15,1.0,-0.908852867830424,-1.7067955112219453,-0.05193266832917706,-1.377930174563591,-1.1889027431421448,0.0
2018-10-16,1.0,-0.9057627541474367,-1.7205313708369714,-0.04216040913059748,-1.3788200074840962,-1.18934763627292,0.0
2018-10-17,1.0,-0.8750914857282264,-1.6509514515735544,-0.018724079043669187,-1.3633813125152476,-1.1908392290802636,0.0
2018-10-18,1.0,-0.8740167083358742,-1.649185925971096,-0.01926946765046649,-1.3647173608146839,-1.1907433380084151,0.0
2018-10-19,1.0,-0.8518227434858835,-1.6304939241883802,-0.0,-1.372831146847228,-1.1904358865848497,0.0
2018-10-22,1.0,-0.8529358408417489,-1.6318558384229305,-0.0,-1.3720142710286027,-1.1902400677269156,0.0
2018-10-23,1.0,-0.8665734605799039,-1.6408728952647258,-0.013069114339553827,-1.3671509330739773,-1.1909914290924564,0.0
2018-10-24,1.0,-0.8795173305423875,-1.651111247922182,-0.0,-1.3984485624576741,-1.2274826078926306,0.0
2018-10-25,1.0,-0.8108283639369429,-1.551750605183917,-0.0,-1.3876129184625376,-1.1540414477180139,0.0
2018-10-26,1.0,-0.7851778541072363,-1.5226756709553473,-0.0,-1.3810909937707398,-1.1327356348605693,0.0
2018-10-29,1.0,-0.7480305838739575,-1.5392145505097314,-0.0,-1.3645157553290084,-1.1406394810009268,0.0
2018-10-30,1.0,-0.7277941943333913,-1.5409351642621243,-0.0,-1.3667072252158294,-1.158641868010893,0.0
2018-10-31,1.0,-0.7327477322310253,-1.5032150648754163,-0.0,-1.3590538523366633,-1.146113216213113,0.0
2018-11-01,1.0,-0.7073925501432665,-1.521375358166189,-0.0,-1.3564469914040116,-1.1453868194842407,0.0
2018-11-02,1.0,-0.7099271402550091,-1.490721766848816,-0.0,-1.356386612021858,-1.1351889799635702,0.0
2018-11-05,1.0,-0.7052398020139955,-1.5027023951755132,-0.0,-1.3565454855777437,-1.1247084257836946,0.0
2018-11-06,1.0,-0.7117178612059158,-1.5077929465301476,-0.0,-1.3515358361774743,-1.117235494880546,0.0
2018-11-07,1.0,-0.7133245909116825,-1.5111465876047665,-0.0,-1.3564057243856549,-1.1207024345743772,0.0
2018-11-08,1.0,-0.660957549036233,-1.5170425640156011,-0.0,-1.341473065400486,-1.1331185348482278,0.0
2018-11-09,1.0,-0.6636276119825585,-1.5200181210714083,-0.0,-1.3428280197066653,-1.1363610623478113,0.0
2018-11-12,1.0,-0.6612594344936352,-1.4949870451729186,-0.0,-1.3473583417821335,-1.128928692125718,0.0
2018-11-13,1.0,-0.6197858576845862,-1.4875641311621681,-0.0,-1.3499888467544054,-1.1192839616328352,0.0
