Date,IWF,IWM,MTUM,OC,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.5931358045564057,-0.0,1.0,-0.8391309860940869,-0.0,-0.10769685954605013,-0.0,-0.6242867407751806,-0.039393042816687096,-0.0,-0.07612325119404878,-0.0,-0.0,-0.3684855657466503,-0.0,-0.5785113487467771,-0.0,-0.0
2019-01-03,-0.0,-0.6028007906135666,-0.0,1.0,-0.8032297405273561,-0.0,-0.05858110097144539,-0.0,-0.6311030741410488,-0.057740022709113076,-0.0,-0.0973968627780815,-0.0,-0.0,-0.38205980066445183,-0.0,-0.5724378653433702,-0.0,-0.0
2019-01-04,-0.0,-0.6271746403479425,-0.0,1.0,-0.8266978922716628,-0.0,-0.0072348611575777854,-0.0,-0.5816744730679156,-0.0743141518902643,-0.0,-0.07615423218467715,-0.0,-0.0,-0.4028521244563399,-0.0,-0.585898293743727,-0.0,-0.0
2019-01-07,-0.0,-0.5256872191409254,-0.0,1.0,-0.9722683292174407,-0.0,-0.14675519209748591,-0.0,-0.47787538966033766,-0.0,-0.0,-0.053682037164487266,-0.0,-0.0,-0.31877251933120115,-0.10226306627262054,-0.45107485526901747,-0.0,-0.0
2019-01-08,-0.0,-0.5293808174828005,-0.0,1.0,-0.9760420882233914,-0.0,-0.14358559287737757,-0.0,-0.4766086604613517,-0.0,-0.0,-0.051112909753136385,-0.0,-0.0,-0.3171995143666532,-0.10372318899231081,-0.4492917847025496,-0.0,-0.0
2019-01-09,-0.0,-0.47027005207282124,-0.0,1.0,-0.9530133613207927,-0.0,-0.19521252977031445,-0.0,-0.4638517741089089,-0.0,-0.0,-0.11516570459774754,-0.0,-0.0,-0.3339926532918903,-0.06886529689581398,-0.43632180196181325,-0.0,-0.0
2019-01-10,-0.0,-0.5113099676858066,-0.0,1.0,-1.0021957080122628,-0.0,-0.23477504349987569,-0.0,-0.43276162068108376,-0.0,-0.0,-0.14570386941751595,-0.0,-0.0,-0.26302924848786147,-0.05940840169028088,-0.49370287513464245,-0.0,-0.0
2019-01-11,-0.0,-0.5106663372045136,-0.0,1.0,-1.0041182769129395,-0.0,-0.22975866897290173,-0.0,-0.4175932789720781,-0.0,-0.0,-0.15810065068775225,-0.0,-0.0,-0.2761716497817313,-0.04328309035499547,-0.4785849600527139,-0.0,-0.0
2019-01-14,-0.0,-0.5098701833917164,-0.0,1.0,-1.0058932618998557,-0.0,-0.23062023490624356,-0.0,-0.4210179270554296,-0.0,-0.0,-0.156027199670307,-0.0,-0.0,-0.2727385122604575,-0.04166494951576344,-0.4833711106532042,-0.0,-0.0
2019-01-15,-0.0,-0.4410168523279063,-0.0,1.0,-1.0442730648386174,-0.0,-0.2257722283429224,-0.0,-0.3949891867629657,-0.0,-0.0,-0.22242624556249235,-0.0,-0.0,-0.282857958950504,-0.09650303994777003,-0.37266903333741375,-0.0,-0.0
2019-01-16,-0.0,-0.42614511552492906,-0.0,1.0,-1.0566274827725983,-0.0,-0.2053911633563032,-0.0,-0.42269963518443454,-0.0,-0.0,-0.20989055533036075,-0.0,-0.0,-0.27498986623429267,-0.09943250912038913,-0.3583299554114309,-0.0,-0.0
2019-01-17,-0.0,-0.41670769735762353,-0.0,1.0,-1.07118824881011,-0.0,-0.2884457574265551,-0.0,-0.4405875594945019,-0.0,-0.0,-0.11931724930247826,-0.0,-0.0,-0.36344986049565076,-0.0677827014606926,-0.3356310520269161,-0.0,-0.0
2019-01-18,-0.0,-0.4136271214573219,-0.0,1.0,-1.0773891032822938,-0.0,-0.2975227187850118,-0.0,-0.46806921449022776,-0.0,-0.0,-0.10950661853188928,-0.0,-0.0,-0.3659902900535292,-0.06473297647205278,-0.3527117307772107,-0.0,-0.0
2019-01-22,-0.0,-0.4473814432989691,-0.0,1.0,-1.0237938144329897,-0.0,-0.2835876288659794,-0.0,-0.4640412371134021,-0.0,-0.0,-0.09884536082474228,-0.0,-0.0,-0.34309278350515465,-0.08503092783505155,-0.3778556701030928,-0.0,-0.0
2019-01-23,-0.0,-0.44365791423162404,-0.0,1.0,-1.0243229895464647,-0.0,-0.2848382582928636,-0.0,-0.4627129804922216,-0.0,-0.0,-0.09906165116470492,-0.0,-0.0,-0.3326611243723763,-0.08827887068894559,-0.38003127829450983,-0.0,-0.0
2019-01-24,-0.0,-0.43787960170226836,-0.0,1.0,-1.0440441267611453,-0.0,-0.25306780151220926,-0.0,-0.5153080196669835,-0.0,-0.0,-0.09750857331735735,-0.0,-0.0,-0.2598438210139239,-0.14576705367103251,-0.37830021071767966,-0.0,-0.0
2019-01-25,-0.0,-0.47525579452912925,-0.0,1.0,-1.00839423679265,-0.0,-0.23186468991438713,-0.04735852996450198,-0.49145959490499064,-0.0,-0.0,-0.11827103779494676,-0.0,-0.0,-0.17602839841302986,-0.171267487993318,-0.45629567759448736,-0.0,-0.0
2019-01-28,-0.0,-0.47507196795861323,-0.0,1.0,-1.0051316283532896,-0.0,-0.23013058533939673,-0.045517126288122156,-0.4986440819391715,-0.0,-0.0,-0.11740164378989529,-0.0,-0.0,-0.17076223455296427,-0.1812340940381326,-0.4482039300763486,-0.0,-0.0
2019-01-29,-0.0,-0.46038079542004595,-0.0,1.0,-0.9610530424599905,-0.0,-0.27466712928828557,-0.0,-0.5417010018649434,-0.0,-0.0,-0.13401570022119097,-0.0,-0.0,-0.26764106345144645,-0.26850847898685865,-0.4291104653684348,-0.0,-0.0
2019-01-30,-0.0,-0.4638397502601457,-0.0,1.0,-0.9566423864030523,-0.0,-0.27584113770378077,-0.0,-0.5367672563302115,-0.0,-0.0,-0.13735691987513007,-0.0,-0.0,-0.2690773499826569,-0.2662157474852584,-0.4299774540409295,-0.0,-0.0
2019-01-31,-0.0,-0.4465810123307752,-0.0,1.0,-1.0144865051306373,-0.0,-0.24308010692420454,-0.004182116064499439,-0.5225058204708114,-0.0,-0.0,-0.14033801845304822,-0.0,-0.0,-0.26127446753470723,-0.26368888505648014,-0.4153229283435371,-0.0,-0.0
2019-02-01,-0.0,-0.4348348864173144,-0.0,1.0,-1.0069137286898269,-0.0,-0.24533001245330013,-0.0,-0.5383690471078284,-0.0,-0.0,-0.1447588783441405,-0.0,-0.0,-0.24739124833598147,-0.272426675827715,-0.40425988749087477,-0.0,-0.0
2019-02-04,-0.0,-0.43936005504902803,-0.0,1.0,-1.0005590916910372,-0.0,-0.237656975744022,-0.0,-0.5395234818510236,-0.0,-0.0,-0.14269740237398934,-0.0,-0.0,-0.2544297264751419,-0.27855668329606054,-0.4079649062446241,-0.0,-0.0
