Date,IWF,IWM,MTUM,PRVB,SPY,VLUE,VXX
2019-03-22,-0.0,-2.106885245901639,-0.0,1.0,-6.634262295081967,-6.652295081967213,0.0
2019-03-25,-0.0,-1.616931560168667,-0.0,1.0,-6.881446642880312,-6.7197534868634445,0.0
2019-03-26,-0.0,-1.6132381570408825,-0.0,1.0,-6.8841661258922775,-6.725827384815055,0.0
2019-03-27,-0.0,-1.5794498381877022,-0.0,1.0,-6.89789644012945,-6.703883495145631,0.0
2019-03-28,-0.0,-1.5985365853658535,-0.0,1.0,-6.925528455284553,-6.73609756097561,0.0
2019-03-29,-0.0,-1.5537000654878848,-0.0,1.0,-6.995743287491814,-6.822527832351015,0.0
2019-04-01,-0.0,-1.5779696920319373,-0.0,1.0,-6.966270164575525,-6.750366628645919,0.0
2019-04-02,-0.0,-1.620022569724327,-0.0,1.0,-6.954860551346123,-6.546348541028534,0.0
2019-04-03,-0.0,-1.6213027315338613,-0.0,1.0,-6.999191853887182,-6.542427670922902,0.0
2019-04-04,-0.0,-1.616146848602989,-0.0,1.0,-7.088206627680313,-6.539961013645224,0.0
2019-04-05,-0.0,-1.605058365758755,-0.0,1.0,-7.086575875486381,-6.521076523994813,0.0
2019-04-08,-0.0,-1.5726067270375161,-0.0,1.0,-7.085705045278138,-6.512451487710219,0.0
2019-04-09,-0.0,-1.5691859524194856,-0.0,1.0,-7.0943518368668075,-6.520310729891569,0.0
2019-04-10,-0.0,-1.6463650765710263,-0.0,1.0,-7.951945080091533,-7.004224608343601,0.0
2019-04-11,-0.0,-1.562820286269659,-0.0,1.0,-8.0613182541085,-7.046828061494964,0.0
2019-04-12,-0.0,-1.5677681569181832,-0.0,1.0,-8.057960770454144,-7.045237674500795,0.0
2019-04-15,-0.0,-1.5806109835776092,-0.0,1.0,-8.022073106127495,-7.055800812290305,0.0
2019-04-16,-0.0,-1.574946846208363,-0.0,1.0,-8.066973777462792,-7.076009922041106,0.0
2019-04-17,-0.0,-1.5730714791224345,-0.0,1.0,-8.07200990799717,-7.047770700636943,0.0
2019-04-18,-0.0,-1.4872858431018936,-0.0,1.0,-8.273579801623084,-7.273579801623084,0.0
2019-04-22,-0.0,-1.5003606202668591,-0.0,1.0,-8.264875586007934,-7.26595744680851,0.0
2019-04-23,-0.0,-1.5027943032269697,-0.0,1.0,-8.266089778258518,-7.258878673156661,0.0
2019-04-24,-0.0,-1.4132452695465905,-0.0,1.0,-8.206354873259551,-7.231167440199929,0.0
2019-04-25,-0.0,-1.4513479735761472,-0.0,1.0,-8.202820924834851,-7.199785752544189,0.0
2019-04-26,-0.0,-1.4257567615977074,-0.0,1.0,-8.322944653412145,-7.162815690488984,0.0
2019-04-29,-0.0,-1.428158844765343,-0.0,1.0,-8.418231046931409,-7.204151624548737,0.0
2019-04-30,-0.0,-1.4181653042688465,-0.0,1.0,-8.485376930063579,-7.261762034514078,0.0
2019-05-01,-0.0,-1.4516894977168948,-0.0,1.0,-8.538082191780822,-7.275068493150685,0.0
2019-05-02,-0.0,-1.4186725018234865,-0.0,1.0,-8.512035010940918,-7.304157549234136,0.0
2019-05-03,-0.0,-1.4300036456434562,-0.0,1.0,-8.501093693036822,-7.296937659496901,0.0
2019-05-06,-0.0,-1.289056875449964,-0.0,1.0,-8.456443484521238,-7.253059755219582,0.0
2019-05-07,-0.0,-1.3190724429264786,-0.0,1.0,-8.429264785187849,-7.227575049433758,0.0
2019-05-08,-0.0,-1.404042210695761,-0.0,1.0,-8.275084957968163,-7.206939724557325,0.0
2019-05-09,-0.0,-1.400322407307899,-0.0,1.0,-8.312197743148845,-7.198996955042093,0.0
2019-05-10,-0.0,-2.248123195380173,-0.22348411934552453,1.0,-8.309720885466795,-7.468142444658325,0.0
2019-05-13,-0.0,-2.243582320015441,-0.21771858714533873,1.0,-8.347616290291448,-7.492569002123141,0.0
2019-05-14,-0.0,-1.962581852198316,-0.662488306828812,1.0,-7.944246959775492,-7.1397567820392895,0.0
2019-05-15,-0.0,-1.9032078620433894,-0.7103652883367327,1.0,-7.888188392360467,-7.040793621361024,0.0
2019-05-16,-0.0,-1.8873840445269017,-0.6883116883116883,1.0,-7.919294990723562,-7.057884972170686,0.0
2019-05-17,-0.0,-1.8893617021276596,-0.6580943570767807,1.0,-7.870305272895467,-7.083626271970397,0.0
2019-05-20,-0.0,-1.7990448901623686,-0.7608404966571155,1.0,-8.190639923591213,-7.351671442215855,0.0
2019-05-21,-0.0,-1.7835267262697356,-0.7730644854479742,1.0,-8.145139813581892,-7.320525014266693,0.0
2019-05-22,-0.0,-1.7186788154897494,-0.8386484434320425,1.0,-8.14445709946849,-7.280941533788915,0.0
2019-05-23,-0.0,-1.6943074003795067,-0.9189753320683113,1.0,-8.161480075901329,-7.200379506641367,0.0
2019-05-24,-0.0,-1.5311969839773798,-1.0145146088595665,1.0,-8.108953817153628,-7.195475966069746,0.0
2019-05-28,-0.0,-1.5087587116217744,-1.0237332831041628,1.0,-8.107176492748165,-7.196270484083632,0.0
2019-05-29,-0.0,-1.57824427480916,-1.0591603053435115,1.0,-8.247137404580151,-7.199236641221374,0.0
2019-05-30,-0.0,-1.5618084700495993,-1.061236169400992,1.0,-8.23807706982068,-7.215566577642122,0.0
2019-05-31,-0.0,-1.5331125827814571,-1.1164783794312427,1.0,-8.476236852356838,-7.351967276977017,0.0
2019-06-03,-0.0,-1.5300556942577301,-1.2231611292490878,1.0,-8.36815824851162,-7.083541386594969,0.0
2019-06-04,-0.0,-1.5197609408135724,-1.2714478503952187,1.0,-8.444958550221708,-7.042606516290727,0.0
2019-06-05,-0.0,-1.4342727444675618,-1.3989029695479478,1.0,-8.426139587667864,-6.655002837147721,0.0
2019-06-06,-0.0,-1.4853191892403863,-1.3121803371850729,1.0,-8.407274104944118,-6.738207993938246,0.0
2019-06-07,-0.0,-1.5793696275071634,-1.285577841451767,1.0,-8.458643744030564,-6.778605539637058,0.0
2019-06-10,-0.0,-1.5587956826358644,-1.2357508047718235,1.0,-8.397083885627723,-6.744177239159249,0.0
2019-06-11,-0.6415324959959539,-0.6426283402174829,-0.6418275309786732,0.3966534603388687,-0.6441878108404282,-0.6446092893871702,0.6033465396611313
2019-06-12,-0.6484487887802804,-0.6496387590310242,-0.6487887802804929,0.3923076923076923,-0.6512962175945601,-0.6517212069698257,0.6076923076923076
2019-06-13,-0.6484487887802804,-0.6496387590310242,-0.6487887802804929,0.3923076923076923,-0.6512962175945601,-0.6517212069698257,0.6076923076923076
2019-06-14,-0.6496148444482274,-0.6508064859343746,-0.6499978720687747,0.39153934544835506,-0.6525088309145849,-0.6528918585351321,0.6084606545516449
2019-06-17,-0.6504643435290107,-0.6516145522705973,-0.6508477464428729,0.3909857714918633,-0.6533611655448581,-0.6537445684587203,0.6090142285081367
2019-06-18,-0.6507990624334116,-0.651949712337524,-0.6511826124014489,0.39079480076709994,-0.6536969955252504,-0.6540805454932879,0.6092051992329001
2019-06-19,-0.6517342890055037,-0.6528862152822219,-0.6521182644310765,0.3901616963181023,-0.6546781006015615,-0.6550194120909595,0.6098383036818977
2019-06-20,-0.6518177163338453,-0.6529697900665642,-0.6522444103089264,0.39021164021164023,-0.6547619047619048,-0.6551459293394777,0.6097883597883598
