Date,IWF,IWM,MTUM,SJW,SPY,VLUE,VXX
2018-09-24,-0.5306818654574198,-1.1592544826725466,-0.0,1.0,-0.8346299455006864,-0.6357282522777384,0.0
2018-09-25,-0.5366239387381389,-1.1581904444814384,-0.0,1.0,-0.8340269685367072,-0.632928250374563,0.0
2018-09-26,-0.5377923915757928,-1.1593690168983601,-0.0,1.0,-0.834054773994839,-0.6309414800632648,0.0
2018-09-27,-0.5416632016632017,-1.150893970893971,-0.0,1.0,-0.8345114345114345,-0.630935550935551,0.0
2018-09-28,-0.5428000998253057,-1.1503618667332167,-0.0,1.0,-0.8347891190416771,-0.6313950586473671,0.0
2018-10-01,-0.5436353761958475,-1.159418473492919,-0.0,1.0,-0.8381584993942433,-0.6364206040857251,0.0
2018-10-02,-0.5431427495922038,-1.167342841607763,-0.0,1.0,-0.8367560332929023,-0.6352837843489899,0.0
2018-10-03,-0.542215531300966,-1.155940283527788,-0.0,1.0,-0.840881528875507,-0.6427884414335299,0.0
2018-10-04,-0.5456369107321967,-1.1494901370779005,-0.0,1.0,-0.8449097291875627,-0.6391257104647275,0.0
2018-10-05,-0.5244729072233544,-1.1391025907597623,-0.0,1.0,-0.8501268349482264,-0.6448205597371814,0.0
2018-10-08,-0.5201112448632269,-1.1340749657548461,-0.0,1.0,-0.85372130671205,-0.64306172429538,0.0
2018-10-09,-0.5141170111023328,-1.135681317310491,-0.0,1.0,-0.858330907730051,-0.6500478190361345,0.0
2018-10-10,-0.5153580780581072,-1.134627374371337,-0.0,1.0,-0.8590132590714493,-0.6474500187040193,0.0
2018-10-11,-0.4170116975519556,-1.122603207782289,-0.0,1.0,-0.8268279937291475,-0.6533746030469911,0.0
2018-10-12,-0.4153900961881012,-1.1113486125954952,-0.0,1.0,-0.8055258678700074,-0.6261330799984166,0.0
2018-10-15,-0.3808657837517296,-1.145839098636094,-0.0,1.0,-0.799802332476774,-0.6268432496540819,0.0
2018-10-16,-0.3750939515012461,-1.156453973654021,-0.0,1.0,-0.7986075398552157,-0.6256972190355631,0.0
2018-10-17,-0.3487642364608352,-1.107344851630898,-0.0,1.0,-0.7881769582397149,-0.6295808476020764,0.0
2018-10-18,-0.3488182874854707,-1.1079814025571484,-0.0,1.0,-0.7880278961642774,-0.6296009298721426,0.0
2018-10-19,-0.3251725334464279,-1.0970428345606664,-0.0,1.0,-0.7993214327023171,-0.6339592088522188,0.0
2018-10-22,-0.325382121352478,-1.0848000617569864,-0.0,1.0,-0.8077041840358191,-0.6419252740466266,0.0
2018-10-23,-0.3305660668777512,-1.085720905089196,-0.0,1.0,-0.8045022781681984,-0.6405127809097227,0.0
2018-10-24,-0.328341502952642,-1.0809757227218342,-0.0,1.0,-0.8065537072059902,-0.6437531359759157,0.0
2018-10-25,-0.2780520900079153,-1.0321510685613056,-0.0,1.0,-0.8454261053107686,-0.613546417398515,0.0
2018-10-26,-0.2606982191322452,-1.013049782503625,-0.0,1.0,-0.8438487563668812,-0.6002899951667472,0.0
2018-10-29,-0.24653278597581268,-1.015976922223455,-0.0,1.0,-0.8370871703835201,-0.5988017308332408,0.0
2018-10-30,-0.22354163574291228,-1.0214116075404482,-0.0,1.0,-0.842919697194597,-0.6229775864628173,0.0
2018-10-31,-0.2285567161983228,-0.9952920406061497,-0.0,1.0,-0.8388995144916875,-0.6153450051493305,0.0
2018-11-01,-0.18825715347454477,-1.0452991452991451,-0.0,1.0,-0.8522482348569305,-0.6302861389817912,0.0
2018-11-02,-0.19476208041313167,-1.0097381040206566,-0.0,1.0,-0.8610106971597196,-0.6231648838067134,0.0
2018-11-05,-0.19326058103524557,-1.0132355109865803,-0.0,1.0,-0.8607874944698423,-0.6194882760654772,0.0
2018-11-06,-0.19775156653151496,-1.0164025064504238,-0.0,1.0,-0.8572797640987837,-0.6145226686325101,0.0
2018-11-07,-0.20246793915896213,-1.027736355502535,-0.0,1.0,-0.8719430360870862,-0.6258947211452431,0.0
2018-11-08,-0.17649660867000883,-1.024476555588322,-0.0,1.0,-0.8594809790622235,-0.6257741079327631,0.0
2018-11-09,-0.18002370194800388,-1.0296644692985706,-0.0,1.0,-0.862491667283905,-0.6312125027775721,0.0
2018-11-12,-0.18081085087459234,-1.0073376815890898,-0.0,1.0,-0.8841535724873998,-0.6335976875185295,0.0
2018-11-13,-0.14614706530522295,-1.0056563578931903,-0.0,1.0,-0.8921986336590023,-0.6289576140453977,0.0
2018-11-14,-0.14671318398824826,-1.0050312155710615,-0.0,1.0,-0.8921042967315461,-0.6285714285714287,0.0
2018-11-15,-0.14532326638322823,-1.0049479548453304,-0.0,1.0,-0.8934906905145872,-0.6214264770561501,0.0
2018-11-16,-0.14485861652705126,-1.0002194827523136,-0.0,1.0,-0.8910633939349599,-0.6218677982221897,0.0
2018-11-19,-0.14795843699692665,-0.9995609541928874,-0.0,1.0,-0.8896897409629738,-0.6215425142689888,0.0
2018-11-20,-0.08439449775604774,-0.994818841901704,-0.0,1.0,-0.9072134856058672,-0.6623125478892253,0.0
