Date,BLOK,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.29794885785857783,-0.3089610357399737,-0.27183213869391604,-0.31788982861678117,-0.28358838264837916,0.0
2018-09-25,1.0,-0.29836089964539886,-0.3084533935080715,-0.272596523421033,-0.3174300096709401,-0.28288739554144865,0.0
2018-09-26,1.0,-0.29896089080673566,-0.30917838454480073,-0.27391315130322647,-0.3170895022691764,-0.28083227934429483,0.0
2018-09-27,1.0,-0.3000694031330557,-0.30606781677572875,-0.2747620464009518,-0.3170731707317073,-0.28071088637715647,0.0
2018-09-28,1.0,-0.30046855244564546,-0.30592260207749705,-0.27473535463718174,-0.3171777772268637,-0.2808339737709795,0.0
2018-10-01,1.0,-0.30091238161352707,-0.30544949670253385,-0.27460703128873903,-0.3174740913373333,-0.2808300689244806,0.0
2018-10-02,1.0,-0.3018446890806308,-0.2970594069225429,-0.27744718833680454,-0.31972131310125956,-0.28334820985817716,0.0
2018-10-03,1.0,-0.3029700509506648,-0.3053311793214863,-0.2783397539455698,-0.31855349819808626,-0.28017894867652543,0.0
2018-10-04,1.0,-0.305345028949134,-0.3014685783863032,-0.2785577615982904,-0.32177024575702606,-0.2777625922520687,0.0
2018-10-05,1.0,-0.3048247791124789,-0.3003573910453688,-0.27829345775836395,-0.32147820907376157,-0.2769284225156359,0.0
2018-10-08,1.0,-0.30493707647628265,-0.300568421575198,-0.27845210613845656,-0.3212947104525033,-0.27693797006478515,0.0
2018-10-09,1.0,-0.3059162342659947,-0.30057846520519377,-0.2806425184339234,-0.3202413168152139,-0.27527992254028155,0.0
2018-10-10,1.0,-0.305994787141616,-0.3003351123246866,-0.28079930495221544,-0.32024326672458736,-0.2749410450539903,0.0
2018-10-11,1.0,-0.29455597225286173,-0.29551192489643846,-0.26879427408878104,-0.3155379071990588,-0.2767360345123416,0.0
2018-10-12,1.0,-0.2938539548783774,-0.2948827866643804,-0.2684761041569704,-0.31599833427234647,-0.27641280650613625,0.0
2018-10-15,1.0,-0.297234345118423,-0.2899033982248811,-0.2725935369979895,-0.3164075908399941,-0.27565831412739666,0.0
2018-10-16,1.0,-0.29625088885074663,-0.2940195669764363,-0.2694995463796189,-0.316602505946105,-0.27562955152882324,0.0
2018-10-17,1.0,-0.2927120669056153,-0.2849828103284324,-0.2667934557335479,-0.3159973666886109,-0.27778996903420866,0.0
2018-10-18,1.0,-0.2931278349509828,-0.28568989903916503,-0.2664244256938009,-0.31558796273716044,-0.2778617763254158,0.0
2018-10-19,1.0,-0.2933118845666374,-0.28534171785122353,-0.2665252997952618,-0.3152481232329141,-0.2769328263624842,0.0
2018-10-22,1.0,-0.2934379875195008,-0.28517453198127923,-0.26625877535101405,-0.31549824492979717,-0.27722796411856476,0.0
2018-10-23,1.0,-0.29389257165139404,-0.28492396178592316,-0.26749853772665233,-0.31431565607330864,-0.27651589003704424,0.0
2018-10-24,1.0,-0.29462328933911264,-0.2827399795451225,-0.26510982321141574,-0.31502946476403837,-0.2776262601665611,0.0
