Date,ESPR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.5662543295398317,-2.4034636318654132,-0.8910440376051459,-2.0554181098466104,-1.9800098960910442,0.0
2018-09-25,1.0,-1.5674579624134521,-2.400593471810089,-0.8936696340257172,-2.0530168150346193,-1.9764589515331357,0.0
2018-09-26,1.0,-1.5740777469258231,-2.409063863546212,-0.9016263387544625,-2.0571201904006347,-1.9747124157080524,0.0
2018-09-27,1.0,-1.5848156613335984,-2.399682003378714,-0.909271588989367,-2.0636986982013314,-1.9800258372254795,0.0
2018-09-28,1.0,-1.583151202066362,-2.3996622292867076,-0.9095966620305981,-2.062686270613948,-1.979237035565269,0.0
2018-10-01,1.0,-1.5852300964118873,-2.3994632740284265,-0.9098499155153562,-2.064605903985687,-1.980320047708975,0.0
2018-10-02,1.0,-1.5912575923528827,-2.3832520163297817,-0.9196455242457432,-2.073583590560589,-1.9894453848451656,0.0
2018-10-03,1.0,-1.592684871437114,-2.369742874227626,-0.9188758222045047,-2.0822204504684074,-2.002491528802073,0.0
2018-10-04,1.0,-1.5926700527835873,-2.365800219101683,-0.9193307439498059,-2.0815655811174185,-1.9999004083258638,0.0
2018-10-05,1.0,-1.5649119335048487,-2.3479121314070848,-0.8876904809024342,-2.086483277261033,-2.008113991688106,0.0
2018-10-08,1.0,-1.557538704269796,-2.3398086973671233,-0.8782171383492752,-2.0833251158662853,-2.0021694113006605,0.0
2018-10-09,1.0,-1.556214186919581,-2.34588026081802,-0.868998221695317,-2.0932622011460187,-2.0151155898043864,0.0
2018-10-10,1.0,-1.564580031695721,-2.3490491283676707,-0.8764857369255151,-2.1009310618066563,-2.0139659270998416,0.0
2018-10-11,1.0,-1.4534759358288771,-2.3883325230918815,-0.6871171609139524,-2.1079241614000974,-2.0860476421973746,0.0
2018-10-12,1.0,-1.4841185041282177,-2.4028169014084506,-0.6757649344341914,-2.0912093249150074,-2.0594463331714423,0.0
2018-10-15,1.0,-1.4468559248134871,-2.4627458579595003,-0.6176727061331266,-2.091754674934599,-2.0700513516132157,0.0
2018-10-16,1.0,-1.4452300242130751,-2.465084745762712,-0.6143341404358353,-2.091234866828087,-2.0694430992736077,0.0
2018-10-17,1.0,-1.3840674789128398,-2.361012183692596,-0.5693533270852859,-2.033552014995314,-2.024086223055295,0.0
2018-10-18,1.0,-1.3830365510777882,-2.3588566073102157,-0.5703842549203374,-2.035426429240862,-2.0243673851921273,0.0
2018-10-19,1.0,-1.350342656047416,-2.3299685126875342,-0.5334321170587145,-2.0313020929801815,-2.01602148546027,0.0
2018-10-22,1.0,-1.3549227619579378,-2.35036292573981,-0.543178857249209,-2.0360134003350083,-2.021217197096594,0.0
2018-10-23,1.0,-1.3711369170256604,-2.364862333770369,-0.5610601236186552,-2.0396141599550477,-2.028376100393332,0.0
2018-10-24,1.0,-1.3694249649368864,-2.3599812996727443,-0.5489481065918653,-2.040953716690042,-2.0308555399719497,0.0
2018-10-25,1.0,-1.2600406037602612,-2.2070791773325094,-0.4883043516638715,-1.9643393062053136,-1.9072292347073883,0.0
2018-10-26,1.0,-1.2942857142857143,-2.3264516129032256,-0.4323502304147466,-2.1370506912442395,-2.0264516129032257,0.0
2018-10-29,1.0,-1.3441423628274838,-2.5854671280276813,-0.40563519525457237,-2.3027187345526445,-2.248344043499753,0.0
2018-10-30,1.0,-1.3390299318383878,-2.5853995851032305,-0.4003753827916625,-2.3025782870690508,-2.2511113306332113,0.0
2018-10-31,1.0,-1.3244768856447688,-2.5274939172749393,-0.3912408759124088,-2.2724087591240876,-2.2167396593673967,0.0
2018-11-01,1.0,-1.3144049699087557,-2.5304795185400892,-0.38002329644729177,-2.268588623568239,-2.213356629780625,0.0
2018-11-02,1.0,-1.3064562686423555,-2.4950447416530355,-0.3691908015010103,-2.2570961223900703,-2.194072933705379,0.0
2018-11-05,1.0,-1.3410930162853432,-2.6701968228594266,-0.3756619042861425,-2.3612748526326306,-2.2426815865720853,0.0
2018-11-06,1.0,-1.3401844796470825,-2.674754361339483,-0.37948666532985764,-2.3740725887307,-2.257569681171045,0.0
