Date,IWF,IWM,LFC,MTUM,SPY,VLUE,VXX
2018-09-24,-0.32616643454038996,-0.46280176415970287,1.0,-0.14435352831940576,-0.5159006499535748,-0.45235608170844943,0.0
2018-09-25,-0.3254422401022453,-0.46469340924274555,1.0,-0.1425044296627647,-0.5175298457605948,-0.4545560170796177,0.0
2018-09-26,-0.32646597315046205,-0.46608938222816293,1.0,-0.14459231708025802,-0.5171732434474342,-0.45144417969431044,0.0
2018-09-27,-0.32970256767747186,-0.45884164052515397,1.0,-0.14677007087254562,-0.5176890902753573,-0.45160915533867785,0.0
2018-09-28,-0.33148271953027353,-0.4582739877336279,1.0,-0.14673138970438623,-0.5181815539342499,-0.45202453274423743,0.0
2018-10-01,-0.3319574443346317,-0.45776408348351844,1.0,-0.14673565490378465,-0.5183710249404104,-0.45197953607348407,0.0
2018-10-02,-0.332790792303668,-0.44974713712724523,1.0,-0.1496831947916061,-0.5201418357263269,-0.4540777771318957,0.0
2018-10-03,-0.3352018919155645,-0.46331493970978954,1.0,-0.15109047911009899,-0.5195176783159615,-0.4504685994569502,0.0
2018-10-04,-0.3367281428738182,-0.4601669195751138,1.0,-0.15148243259017158,-0.5213610365355434,-0.4484358585269056,0.0
2018-10-05,-0.3346736596736597,-0.45885780885780886,1.0,-0.14793123543123543,-0.5231351981351982,-0.44915501165501165,0.0
2018-10-08,-0.33329452174419283,-0.4562787448332072,1.0,-0.14388426384118297,-0.5279443441811725,-0.44949641963090176,0.0
2018-10-09,-0.33190671674382044,-0.4567793402626139,1.0,-0.14007045739074736,-0.5302064226861152,-0.4524994904940752,0.0
2018-10-10,-0.33336244541484716,-0.45542940320232894,1.0,-0.14174672489082968,-0.5311208151382824,-0.44951965065502175,0.0
2018-10-11,-0.30121680786944904,-0.45087280377551603,1.0,-0.09899357479956786,-0.527378177062603,-0.46454767726161367,0.0
2018-10-12,-0.3118530603060306,-0.44439131413141314,1.0,-0.09805355535553556,-0.5126293879387939,-0.4458258325832583,0.0
2018-10-15,-0.3171618650279078,-0.438264644528387,1.0,-0.10275131081919153,-0.5148277611772002,-0.44598861137734674,0.0
2018-10-16,-0.3166737138830162,-0.4401127554615926,1.0,-0.10136715997181113,-0.5148132487667371,-0.445891472868217,0.0
2018-10-17,-0.3084768433372346,-0.41971799587582903,1.0,-0.09485593267569525,-0.5132084935629493,-0.4503706180683275,0.0
2018-10-18,-0.30954572073956327,-0.42179090325999047,1.0,-0.09378398728352715,-0.512674642349201,-0.45087704620876207,0.0
2018-10-19,-0.3043852106620808,-0.41486145397054336,1.0,-0.08856405846947549,-0.5151027653732005,-0.4507530579979474,0.0
2018-10-22,-0.31744515911580484,-0.407184787798781,1.0,-0.0598264191219841,-0.5462741903772154,-0.4779934275201528,0.0
2018-10-23,-0.3284429183575016,-0.41655552087176145,1.0,-0.07239138454553194,-0.5416158233775079,-0.47881608445188567,0.0
2018-10-24,-0.3280597608430142,-0.41855312863919103,1.0,-0.0725139886954299,-0.5424773482546085,-0.4787116198483256,0.0
2018-10-25,-0.3115605812241269,-0.3907704275831411,1.0,-0.0709860250604284,-0.5442169310699302,-0.4607840413413719,0.0
2018-10-26,-0.3025775327360441,-0.38458993797381114,1.0,-0.05717436250861475,-0.554762232942798,-0.45764300482425907,0.0
2018-10-29,-0.320157215047726,-0.38871420550252667,1.0,-0.0590398652442448,-0.5775407074677147,-0.4619314991577765,0.0
2018-10-30,-0.33032069149984516,-0.3900385730776811,1.0,-0.06436354421826168,-0.577779654813188,-0.45307880733170036,0.0
2018-10-31,-0.3339956344098058,-0.37306206973750494,1.0,-0.06604354396373202,-0.5762579056360889,-0.4491240835059047,0.0
2018-11-01,-0.3293068254900316,-0.3788552414506613,1.0,-0.061068702290076333,-0.5770489052931801,-0.4499342896289461,0.0
2018-11-02,-0.32879856678983316,-0.38164819169185976,1.0,-0.06141529503974919,-0.576671145448438,-0.45070540812898885,0.0
2018-11-05,-0.3212875197472354,-0.41954412096592186,1.0,-0.05729519295870007,-0.5882701421800948,-0.4346648612051455,0.0
2018-11-06,-0.3260360538268401,-0.4231669816909752,1.0,-0.05506812988405224,-0.5860016362456625,-0.43084040962563824,0.0
2018-11-07,-0.32403100775193794,-0.4227202255109232,1.0,-0.058350951374207184,-0.5839041578576462,-0.4298801973220578,0.0
2018-11-08,-0.3135294117647059,-0.42403361344537815,1.0,-0.04775910364145658,-0.5812885154061626,-0.4345098039215687,0.0
2018-11-09,-0.3157820876252491,-0.42611355917932026,1.0,-0.046142187543854726,-0.5819978107721238,-0.436694827247467,0.0
2018-11-12,-0.3155523215135317,-0.4182642523299096,1.0,-0.04595449329713694,-0.584198595057513,-0.43469256388010413,0.0
2018-11-13,-0.3022848078368074,-0.4185567584114881,1.0,-0.02794088998970306,-0.5968608243119139,-0.43731388973923696,0.0
2018-11-14,-0.30778064082455747,-0.4224176562850101,1.0,-0.02484315482859063,-0.6042460228545821,-0.441519157517365,0.0
2018-11-15,-0.308230291501147,-0.4233200917585185,1.0,-0.023219381189503722,-0.6075365075812679,-0.4351815587758071,0.0
2018-11-16,-0.31010756311961135,-0.42974695986744177,1.0,-0.024264891734771254,-0.6097958266632966,-0.4345213019911815,0.0
2018-11-19,-0.31018857303687025,-0.43380242048972695,1.0,-0.016915282859555306,-0.6155080213903743,-0.43810864058542076,0.0
2018-11-20,-0.3018883807065294,-0.4315216476332109,1.0,-0.006565840792390359,-0.6204719548808889,-0.44543898538118354,0.0
2018-11-21,-0.30315795346761143,-0.42640740947386047,1.0,-0.008954974055682643,-0.6185069463817441,-0.4326842604474697,0.0
